Inventory Item Details;;;;;;;;;;;;
شركة الكوب الاول;;;;;;;;;;;;
For the period 1 January 2025 to 31 December 2025;;;;;;;;;;;;
;;;;;;;;;;;;
Date;Source;Reference;Contact;Description;Total;Unit Cost Price;Unit Sale Price;Value Movement;QoH Movement;Profit per Item;Revenue Account;Inventory Account
11 نوفمبر 2025;Payable Credit Note;MP 2788;سند صرف قهوه محموصه فرع التخصصي;Colombi roasted beans(1Kg);(43.00);43.00;43.00;(43.00);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
12 نوفمبر 2025;Payable Credit Note;MP 2792;سند صرف قهوه محموصه فرع التخصصي;Colombi roasted beans(1Kg);(43.00);43.00;43.00;(43.00);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
13 نوفمبر 2025;Payable Invoice;7228;تحميص وارد لمستودع البن المحمص;Colombi roasted beans(1Kg);1,956.00;46.57;0.00;1,956.00;42.0000;0.00;;636 - مخزون البن المحمص
13 نوفمبر 2025;Payable Credit Note;MP 2797;سند صرف قهوه محموصه فرع الصحافة;Colombi roasted beans(1Kg);(129.00);43.00;43.00;(129.00);(3.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
13 نوفمبر 2025;Payable Credit Note;MP 2797;سند صرف قهوه محموصه فرع الصحافة;Colombi roasted beans(1Kg) 8كيس;(86.00);43.00;43.00;(86.00);(2.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
18 نوفمبر 2025;Payable Credit Note;MP 2802;سند صرف قهوه محموصه فرع الصحافة;Colombi roasted beans(1Kg)12كيس;(129.00);43.00;43.00;(129.00);(3.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
18 نوفمبر 2025;Payable Credit Note;MP 2801;سند صرف قهوه محموصه فرع حطين;Colombi roasted beans(1Kg);(430.00);43.00;43.00;(430.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
18 نوفمبر 2025;Payable Credit Note;MP 2806;سند صرف قهوه محموصه فرع التخصصي;Colombi roasted beans(1Kg) 12 كيس;(129.00);43.00;43.00;(129.00);(3.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
18 نوفمبر 2025;Payable Credit Note;MP 2807;سند صرف قهوه محموصه فرع رفا;Colombi roasted beans(1Kg);(129.00);43.00;43.00;(129.00);(3.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
21 نوفمبر 2025;Payable Credit Note;MP 2811;سند صرف قهوه محموصه فرع التخصصي;Colombi roasted beans(1Kg) 8كيس;(86.00);43.00;43.00;(86.00);(2.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
21 نوفمبر 2025;Payable Credit Note;MP 2809;سند صرف قهوه محموصه فرع حطين;Colombi roasted beans(1Kg);(1,247.00);43.00;43.00;(1,247.00);(29.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
21 نوفمبر 2025;Payable Credit Note;MP 2815;سند صرف قهوه محموصه فرع رفا;Colombi roasted beans(1Kg);(43.00);43.00;43.00;(43.00);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
23 نوفمبر 2025;Payable Credit Note;MP 2818;سند صرف قهوه محموصه فرع التخصصي;Colombi roasted beans(1Kg);(43.00);43.00;43.00;(43.00);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
23 نوفمبر 2025;Payable Credit Note;MP 2817;سند صرف قهوه محموصه فرع الصحافة;Colombi roasted beans(1Kg);(215.00);43.00;43.00;(215.00);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
24 نوفمبر 2025;Payable Credit Note;MP 2819;سند صرف قهوه محموصه فرع الصحافة;Colombi roasted beans(1Kg) 14 كيس;(150.50);43.00;43.00;(150.50);(3.5000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
25 نوفمبر 2025;Payable Credit Note;MP 2826;سند صرف قهوه محموصه فرع رفا;Colombi roasted beans(1Kg);(86.00);43.00;43.00;(86.00);(2.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
25 نوفمبر 2025;Payable Credit Note;MP 2824;سند صرف قهوه محموصه فرع واو;Colombi roasted beans(1Kg);(172.00);43.00;43.00;(172.00);(4.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
25 نوفمبر 2025;Payable Credit Note;MP 2825;سند صرف قهوه محموصه فرع رفا;Colombi roasted beans(1Kg);(215.00);43.00;43.00;(215.00);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
27 نوفمبر 2025;Payable Credit Note;MP 2827;سند صرف قهوه محموصه فرع حطين;Colombi roasted beans(1Kg);(1,204.00);43.00;43.00;(1,204.00);(28.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
27 نوفمبر 2025;Payable Invoice;7230;تحميص وارد لمستودع البن المحمص;Colombi roasted beans(1Kg);3,463.75;46.81;0.00;3,463.75;74.0000;0.00;;636 - مخزون البن المحمص
27 نوفمبر 2025;Payable Credit Note;MP 2830;سند صرف قهوه محموصه فرع الصحافة;Colombi roasted beans(1Kg)12كيس;(129.00);43.00;43.00;(129.00);(3.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
27 نوفمبر 2025;Payable Credit Note;MP 2829;سند صرف قهوه محموصه فرع حطين;Colombi roasted beans(1Kg) 30 كيس;(322.50);43.00;43.00;(322.50);(7.5000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
28 نوفمبر 2025;Payable Credit Note;MP 2833;سند صرف قهوه محموصه فرع رفا;Colombi roasted beans(1Kg);(43.00);43.00;43.00;(43.00);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
29 نوفمبر 2025;Receivable Invoice;INV-4811;Arto Caffee ارتوكفى;Colombi roasted beans;(2,500.00);59.13;100.00;(1,478.14);(25.0000);40.87;202 - مبيعات القهوة المحمصه;636 - مخزون البن المحمص
30 نوفمبر 2025;Payable Credit Note;MP 2835;سند صرف قهوه محموصه فرع الصحافة;Colombi roasted beans(1Kg) 8كيس;(86.00);43.00;43.00;(86.00);(2.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
30 نوفمبر 2025;Payable Credit Note;MP 2837;سند صرف قهوه محموصه فرع التخصصي;Colombi roasted beans(1Kg) 8 كيس;(86.00);43.00;43.00;(86.00);(2.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
30 نوفمبر 2025;Receivable Invoice;INV-4868;موقع سلة Salla website;Colombi roasted beans;(1,836.00);58.79;153.00;(705.46);(12.0000);94.21;203 - مبيعات المتجر الكترونى موقع سلة;636 - مخزون البن المحمص
30 نوفمبر 2025;Receivable Invoice;INV-4868;موقع سلة Salla website;Colombi roasted beans اظرف قهوة كولمبيا;(547.82);58.79;156.52;(205.76);(3.5000);97.73;203 - مبيعات المتجر الكترونى موقع سلة;636 - مخزون البن المحمص
02 ديسمبر 2025;Payable Credit Note;MP 2843;سند صرف قهوه محموصه فرع رفا;Colombi roasted beans(1Kg);(215.00);43.00;43.00;(215.00);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
02 ديسمبر 2025;Payable Credit Note;MP 2843;سند صرف قهوه محموصه فرع رفا;Colombi roasted beans(1Kg)8كيس;(86.00);43.00;43.00;(86.00);(2.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
02 ديسمبر 2025;Payable Credit Note;MP 2842;سند صرف قهوه محموصه فرع التخصصي;Colombi roasted beans(1Kg);(215.00);43.00;43.00;(215.00);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
02 ديسمبر 2025;Payable Credit Note;MP 2842;سند صرف قهوه محموصه فرع التخصصي;Colombi roasted beans(1Kg) 4كيس;(43.00);43.00;43.00;(43.00);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
04 ديسمبر 2025;Payable Invoice;7231;تحميص وارد لمستودع البن المحمص;Colombi roasted beans(1Kg);4,971.51;47.35;0.00;4,971.51;105.0000;0.00;;636 - مخزون البن المحمص
04 ديسمبر 2025;Payable Credit Note;MP 2850;سند صرف قهوه محموصه فرع واو;Colombi roasted beans(1Kg) 4كيس;(43.00);43.00;43.00;(43.00);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
04 ديسمبر 2025;Payable Credit Note;MP 2845;سند صرف قهوه محموصه فرع الصحافة;Colombi roasted beans(1Kg);(258.00);43.00;43.00;(258.00);(6.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
04 ديسمبر 2025;Payable Credit Note;MP 2845;سند صرف قهوه محموصه فرع الصحافة;Colombi roasted beans(1Kg) 6 كيس;(64.50);43.00;43.00;(64.50);(1.5000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
04 ديسمبر 2025;Receivable Invoice;INV-4829;مقهى واي تسعة لتقديم المشروبات;Colombi roasted beans;(1,360.00);58.79;85.00;(940.62);(16.0000);26.21;202 - مبيعات القهوة المحمصه;636 - مخزون البن المحمص
06 ديسمبر 2025;Payable Credit Note;MP 2852;سند صرف قهوه محموصه فرع رفا;Colombi roasted beans(1Kg);(215.00);43.00;43.00;(215.00);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
06 ديسمبر 2025;Payable Credit Note;2851;سند صرف قهوه محموصه فرع حطين;Colombi roasted beans(1Kg);(989.00);43.00;43.00;(989.00);(23.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
10 ديسمبر 2025;Payable Invoice;7232;تحميص وارد لمستودع البن المحمص;Colombi roasted beans(1Kg);305.63;47.02;0.00;305.63;6.5000;0.00;;636 - مخزون البن المحمص
13 ديسمبر 2025;Payable Credit Note;MP 2863;سند صرف قهوه محموصه فرع حطين;Colombi roasted beans(1Kg);(860.00);43.00;43.00;(860.00);(20.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
13 ديسمبر 2025;Payable Credit Note;MP 2864;سند صرف قهوه محموصه فرع رفا;Colombi roasted beans(1Kg);(129.00);43.00;43.00;(129.00);(3.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
18 ديسمبر 2025;Payable Invoice;7233;تحميص وارد لمستودع البن المحمص;Colombi roasted beans(1Kg);4,482.50;47.69;0.00;4,482.50;94.0000;0.00;;636 - مخزون البن المحمص
20 ديسمبر 2025;Payable Credit Note;MP 2875;سند صرف قهوه محموصه فرع حطين;Colombi roasted beans(1Kg);(1,075.00);43.00;43.00;(1,075.00);(25.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
21 ديسمبر 2025;Payable Credit Note;MP 2877;سند صرف قهوه محموصه فرع الصحافة;Colombi roasted beans(1Kg) 6 كيس;(64.50);43.00;43.00;(64.50);(1.5000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
22 ديسمبر 2025;Payable Credit Note;MP 2880;سند صرف قهوه محموصه فرع التخصصي;Colombi roasted beans(1Kg);(43.00);43.00;43.00;(43.00);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
22 ديسمبر 2025;Receivable Invoice;INV-4935;مؤسسة جذل لتقديم المشروبات;Colombi roasted beans;(2,600.00);56.71;130.00;(1,134.20);(20.0000);73.29;202 - مبيعات القهوة المحمصه;636 - مخزون البن المحمص
22 ديسمبر 2025;Receivable Invoice;INV-4929;Arto Caffee ارتوكفى;Colombi roasted beans;(3,000.00);56.71;100.00;(1,701.31);(30.0000);43.29;202 - مبيعات القهوة المحمصه;636 - مخزون البن المحمص
24 ديسمبر 2025;Payable Credit Note;MP 2883;سند صرف قهوه محموصه فرع الصحافة;Colombi roasted beans(1Kg);(215.00);43.00;43.00;(215.00);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
24 ديسمبر 2025;Payable Credit Note;MP 2885;سند صرف قهوه محموصه فرع رفا;Colombi roasted beans(1Kg);(129.00);43.00;43.00;(129.00);(3.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
24 ديسمبر 2025;Payable Invoice;7234;تحميص وارد لمستودع البن المحمص;Colombi roasted beans(1Kg);7,375.74;47.28;0.00;7,375.74;156.0000;0.00;;636 - مخزون البن المحمص
28 ديسمبر 2025;Payable Credit Note;MP 2891;سند صرف قهوه محموصه فرع الصحافة;Colombi roasted beans(1Kg) 4كيس;(43.00);43.00;43.00;(43.00);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
28 ديسمبر 2025;Payable Credit Note;MP 2889;سند صرف قهوه محموصه فرع حطين;Colombi roasted beans(1Kg);(1,290.00);43.00;43.00;(1,290.00);(30.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
29 ديسمبر 2025;Payable Credit Note;MP 2892;سند صرف قهوه محموصه فرع التخصصي;Colombi roasted beans(1Kg);(43.00);43.00;43.00;(43.00);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
30 ديسمبر 2025;Payable Credit Note;MP 2894;سند صرف قهوه محموصه فرع حطين;Colombi roasted beans(1Kg);(172.00);43.00;43.00;(172.00);(4.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
31 ديسمبر 2025;Payable Credit Note;MP 2896;سند صرف قهوه محموصه فرع التخصصي;Colombi roasted beans(1Kg) 3كيس;(32.25);43.00;43.00;(32.25);(0.7500);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
31 ديسمبر 2025;Receivable Invoice;INV-5016;موقع سلة Salla website;Colombi roasted beans;(78.26);49.50;313.04;(12.38);(0.2500);263.54;203 - مبيعات المتجر الكترونى موقع سلة;636 - مخزون البن المحمص
31 ديسمبر 2025;Receivable Invoice;INV-5016;موقع سلة Salla website;Colombi roasted beans اظرف قهوة كولمبيا;(194.25);49.50;194.25;(49.50);(1.0000);144.75;203 - مبيعات المتجر الكترونى موقع سلة;636 - مخزون البن المحمص
31 ديسمبر 2025;Adjustment;Revaluation;;تعديل السعر;(591.76);0.00;0.00;(591.76);0.0000;0.00;;636 - مخزون البن المحمص
31 ديسمبر 2025;Adjustment;Quantity Decrease;;جرد 31/12;(1,992.38);49.50;0.00;(1,992.38);(40.2500);0.00;;636 - مخزون البن المحمص
Total RB0465- كولومبى محمص - Colombi roasted beans(1Kg);;;;;(28,416.07);;;2,822.66;41.7500;3,236.17;;
Closing Balance;;;;;0.00;0.00;0.00;7,660.13;154.7500;0.00;;
;;;;;;;;;;;;
RB0617-   قاراقاري قوتيتي محمص - Roasted coffee Yirgocheffe Garagari Gutity1K;;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
05 نوفمبر 2025;Payable Invoice;7227;تحميص وارد لمستودع البن المحمص;Roasted coffee Yirgocheffe Garagari Gutity1K;422.40;40.23;0.00;422.40;10.5000;0.00;;636 - مخزون البن المحمص
21 نوفمبر 2025;Payable Invoice;7229;تحميص وارد لمستودع البن المحمص;Roasted coffee Yirgocheffe Garagari Gutity1K;7,708.80;40.79;0.00;7,708.80;189.0000;0.00;;636 - مخزون البن المحمص
21 نوفمبر 2025;Payable Credit Note;MP 2809;سند صرف قهوه محموصه فرع حطين;Roasted coffee Yirgocheffe Garagari Gutity1K;(255.00);42.50;42.50;(255.00);(6.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
22 نوفمبر 2025;Receivable Invoice;INV-4810;مؤسسة جذل لتقديم المشروبات;Roasted coffee Yirgocheffe Garagari Gutity1K;(2,940.00);40.53;98.00;(1,215.77);(30.0000);57.47;202 - مبيعات القهوة المحمصه;636 - مخزون البن المحمص
23 نوفمبر 2025;Payable Credit Note;MP 2818;سند صرف قهوه محموصه فرع التخصصي;Roasted coffee Yirgocheffe Garagari Gutity1K;(255.00);42.50;42.50;(255.00);(6.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
23 نوفمبر 2025;Payable Credit Note;MP 2817;سند صرف قهوه محموصه فرع الصحافة;Roasted coffee Yirgocheffe Garagari Gutity1K;(425.00);42.50;42.50;(425.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
24 نوفمبر 2025;Payable Credit Note;MP 2819;سند صرف قهوه محموصه فرع الصحافة;Roasted coffee Yirgocheffe Garagari Gutity1K;(637.50);42.50;42.50;(637.50);(15.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
25 نوفمبر 2025;Payable Credit Note;MP 2821;سند صرف قهوه محموصه فرع الصحافة;Roasted coffee Yirgocheffe Garagari Gutity1K;(425.00);42.50;42.50;(425.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
25 نوفمبر 2025;Payable Credit Note;MP 2823;سند صرف قهوه محموصه فرع التخصصي;Roasted coffee Yirgocheffe Garagari Gutity1K;(255.00);42.50;42.50;(255.00);(6.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
27 نوفمبر 2025;Payable Credit Note;MP 2827;سند صرف قهوه محموصه فرع حطين;Roasted coffee Yirgocheffe Garagari Gutity1K;(1,955.00);42.50;42.50;(1,955.00);(46.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
27 نوفمبر 2025;Payable Invoice;7230;تحميص وارد لمستودع البن المحمص;Roasted coffee Yirgocheffe Garagari Gutity1K;4,716.81;41.02;0.00;4,716.81;115.0000;0.00;;636 - مخزون البن المحمص
27 نوفمبر 2025;Payable Credit Note;MP 2830;سند صرف قهوه محموصه فرع الصحافة;Roasted coffee Yirgocheffe Garagari Gutity1K;(425.00);42.50;42.50;(425.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
29 نوفمبر 2025;Receivable Invoice;INV-4811;Arto Caffee ارتوكفى;Roasted coffee Yirgocheffe Garagari Gutity1K;(2,450.00);40.53;98.00;(1,013.14);(25.0000);57.47;202 - مبيعات القهوة المحمصه;636 - مخزون البن المحمص
30 نوفمبر 2025;Payable Credit Note;MP 2835;سند صرف قهوه محموصه فرع الصحافة;Roasted coffee Yirgocheffe Garagari Gutity1K;(425.00);42.50;42.50;(425.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
30 نوفمبر 2025;Payable Credit Note;MP 2837;سند صرف قهوه محموصه فرع التخصصي;Roasted coffee Yirgocheffe Garagari Gutity1K;(212.50);42.50;42.50;(212.50);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
02 ديسمبر 2025;Payable Credit Note;MP 2843;سند صرف قهوه محموصه فرع رفا;Roasted coffee Yirgocheffe Garagari Gutity1K;(340.00);42.50;42.50;(340.00);(8.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
02 ديسمبر 2025;Payable Credit Note;MP 2839;سند صرف قهوه محموصه فرع الصحافة;Roasted coffee Yirgocheffe Garagari Gutity1K;(425.00);42.50;42.50;(425.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
02 ديسمبر 2025;Payable Credit Note;MP 2842;سند صرف قهوه محموصه فرع التخصصي;Roasted coffee Yirgocheffe Garagari Gutity1K;(212.50);42.50;42.50;(212.50);(5.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
02 ديسمبر 2025;Receivable Invoice;INV-4823;شركة قطرة المحدودة;Roasted coffee Yirgocheffe Garagari Gutity1K;(1,350.00);39.48;135.00;(394.77);(10.0000);95.52;202 - مبيعات القهوة المحمصه;636 - مخزون البن المحمص
04 ديسمبر 2025;Payable Invoice;7231;تحميص وارد لمستودع البن المحمص;Roasted coffee Yirgocheffe Garagari Gutity1K;9,011.20;40.96;0.00;9,011.20;220.0000;0.00;;636 - مخزون البن المحمص
04 ديسمبر 2025;Payable Credit Note;MP 2849;سند صرف قهوه محموصه فرع التخصصي;Roasted coffee Yirgocheffe Garagari Gutity1K;(170.00);42.50;42.50;(170.00);(4.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
04 ديسمبر 2025;Payable Credit Note;MP 2845;سند صرف قهوه محموصه فرع الصحافة;Roasted coffee Yirgocheffe Garagari Gutity1K;(425.00);42.50;42.50;(425.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
06 ديسمبر 2025;Payable Credit Note;2851;سند صرف قهوه محموصه فرع حطين;Roasted coffee Yirgocheffe Garagari Gutity1K;(3,612.50);42.50;42.50;(3,612.50);(85.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
07 ديسمبر 2025;Payable Credit Note;MP 2853;سند صرف قهوه محموصه فرع الصحافة;Roasted coffee Yirgocheffe Garagari Gutity1K;(637.50);42.50;42.50;(637.50);(15.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
07 ديسمبر 2025;Payable Credit Note;MP 2854;سند صرف قهوه محموصه فرع التخصصي;Roasted coffee Yirgocheffe Garagari Gutity1K;(425.00);42.50;42.50;(425.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
09 ديسمبر 2025;Payable Credit Note;MP 2856;سند صرف قهوه محموصه فرع الصحافة;Roasted coffee Yirgocheffe Garagari Gutity1K;(425.00);42.50;42.50;(425.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
10 ديسمبر 2025;Payable Invoice;7232;تحميص وارد لمستودع البن المحمص;Roasted coffee Yirgocheffe Garagari Gutity1K;844.80;40.23;0.00;844.80;21.0000;0.00;;636 - مخزون البن المحمص
12 ديسمبر 2025;Payable Credit Note;MP 2859;سند صرف قهوه محموصه فرع الصحافة;Roasted coffee Yirgocheffe Garagari Gutity1K;(850.00);42.50;42.50;(850.00);(20.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
13 ديسمبر 2025;Payable Credit Note;MP 2863;سند صرف قهوه محموصه فرع حطين;Roasted coffee Yirgocheffe Garagari Gutity1K;(3,145.00);42.50;42.50;(3,145.00);(74.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
13 ديسمبر 2025;Payable Credit Note;MP 2864;سند صرف قهوه محموصه فرع رفا;Roasted coffee Yirgocheffe Garagari Gutity1K;(127.50);42.50;42.50;(127.50);(3.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
14 ديسمبر 2025;Payable Credit Note;MP 2865;سند صرف قهوه محموصه فرع الصحافة;Roasted coffee Yirgocheffe Garagari Gutity1K;(425.00);42.50;42.50;(425.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
14 ديسمبر 2025;Payable Credit Note;MP 2865;سند صرف قهوه محموصه فرع الصحافة;Roasted coffee Yirgocheffe Garagari Gutity1K 6 كيس;(63.75);42.50;42.50;(63.75);(1.5000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
15 ديسمبر 2025;Payable Credit Note;MP 2866;سند صرف قهوه محموصه فرع التخصصي;Roasted coffee Yirgocheffe Garagari Gutity1K;(255.00);42.50;42.50;(255.00);(6.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
15 ديسمبر 2025;Payable Credit Note;MP 2866;سند صرف قهوه محموصه فرع التخصصي;Roasted coffee Yirgocheffe Garagari Gutity1K 4 كيس;(42.50);42.50;42.50;(42.50);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
16 ديسمبر 2025;Payable Credit Note;MP 2869;سند صرف قهوه محموصه فرع واو;Roasted coffee Yirgocheffe Garagari Gutity1K;(85.00);42.50;42.50;(85.00);(2.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
16 ديسمبر 2025;Payable Credit Note;MP 2868;سند صرف قهوه محموصه فرع الصحافة;Roasted coffee Yirgocheffe Garagari Gutity1K;(425.00);42.50;42.50;(425.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
18 ديسمبر 2025;Payable Invoice;7233;تحميص وارد لمستودع البن المحمص;Roasted coffee Yirgocheffe Garagari Gutity1K;14,608.01;40.92;0.00;14,608.01;357.0000;0.00;;636 - مخزون البن المحمص
18 ديسمبر 2025;Payable Credit Note;MP 2871;سند صرف قهوه محموصه فرع التخصصي;Roasted coffee Yirgocheffe Garagari Gutity1K;(425.00);42.50;42.50;(425.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
20 ديسمبر 2025;Payable Credit Note;MP 2875;سند صرف قهوه محموصه فرع حطين;Roasted coffee Yirgocheffe Garagari Gutity1K;(3,187.50);42.50;42.50;(3,187.50);(75.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
20 ديسمبر 2025;Payable Credit Note;MP 2875;سند صرف قهوه محموصه فرع حطين;Roasted coffee Yirgocheffe Garagari Gutity1K 12 كيس;(127.50);42.50;42.50;(127.50);(3.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
21 ديسمبر 2025;Payable Credit Note;MP 2873;سند صرف قهوه محموصه فرع الصحافة;Roasted coffee Yirgocheffe Garagari Gutity1K;(850.00);42.50;42.50;(850.00);(20.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
22 ديسمبر 2025;Payable Credit Note;MP 2880;سند صرف قهوه محموصه فرع التخصصي;Roasted coffee Yirgocheffe Garagari Gutity1K;(170.00);42.50;42.50;(170.00);(4.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
22 ديسمبر 2025;Receivable Invoice;INV-4935;مؤسسة جذل لتقديم المشروبات;Roasted coffee Yirgocheffe Garagari Gutity1K;(4,900.00);38.48;98.00;(1,924.03);(50.0000);59.52;202 - مبيعات القهوة المحمصه;636 - مخزون البن المحمص
22 ديسمبر 2025;Receivable Invoice;INV-4929;Arto Caffee ارتوكفى;Roasted coffee Yirgocheffe Garagari Gutity1K;(2,940.00);38.48;98.00;(1,154.42);(30.0000);59.52;202 - مبيعات القهوة المحمصه;636 - مخزون البن المحمص
24 ديسمبر 2025;Payable Credit Note;MP 2883;سند صرف قهوه محموصه فرع الصحافة;Roasted coffee Yirgocheffe Garagari Gutity1K;(637.50);42.50;42.50;(637.50);(15.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
24 ديسمبر 2025;Payable Credit Note;MP 2884;سند صرف قهوه محموصه فرع التخصصي;Roasted coffee Yirgocheffe Garagari Gutity1K;(340.00);42.50;42.50;(340.00);(8.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
24 ديسمبر 2025;Payable Credit Note;MP 2881;سند صرف قهوه محموصه فرع الصحافة;Roasted coffee Yirgocheffe Garagari Gutity1K 4 كيس;(42.50);42.50;42.50;(42.50);(1.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
24 ديسمبر 2025;Payable Invoice;7234;تحميص وارد لمستودع البن المحمص;Roasted coffee Yirgocheffe Garagari Gutity1K;8,588.79;40.90;0.00;8,588.79;210.0000;0.00;;636 - مخزون البن المحمص
27 ديسمبر 2025;Payable Credit Note;MP 2887;سند صرف قهوه محموصه فرع الصحافة;Roasted coffee Yirgocheffe Garagari Gutity1K;(425.00);42.50;42.50;(425.00);(10.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
27 ديسمبر 2025;Payable Credit Note;MP 2888;سند صرف قهوه محموصه فرع التخصصي;Roasted coffee Yirgocheffe Garagari Gutity1K;(552.50);42.50;42.50;(552.50);(13.0000);0.00;636 - مخزون البن المحمص;636 - مخزون البن المحمص
